museum_id,name,address,city,state,postal,country,url,established_year
30,The Museum of Modern Art,11 W 53rd St,New York,NY,10019,USA,https://www.moma.org/,
31,Pushkin State Museum of Fine Arts,12 Ulitsa Volkhonka,Moscow,,119019,Russia,https://pushkinmuseum.art/,
32,National Gallery of Victoria,180 St Kilda Rd,Melbourne,Victoria,3004,Australia,https://www.ngv.vic.gov.au/,
33,São Paulo Museum of Art,"Av. Paulista, 1578 - Bela Vista",São Paulo,,01310-200,Brazil,https://masp.org.br/,
34,The State Hermitage Museum,Palace Square,2,Sankt-Peterburg,190000,Russia,https://www.hermitagemuseum.org/wps/portal/hermitage/,
35,The Metropolitan Museum of Art,1000 5th Ave,New York,NY,10028,USA,https://www.metmuseum.org/,
36,Museum Folkwang,Museumsplatz 1,45128,Essen,,Germany,https://www.museum-folkwang.de/en,
37,Museum of Grenoble,5 Pl. de Lavalette,38000,Grenoble,,France,https://www.museedegrenoble.fr/1986-the-museum-in-english.htm,
38,Musée des Beaux-Arts de Quimper,40 Pl. Saint-Corentin,29000,Quimper,,France,https://www.mbaq.fr/en/home-3.html,
39,Nelson-Atkins Museum of Art,4525 Oak St,Kansas City,MO,64111,USA,https://www.nelson-atkins.org/,
40,Musée du Louvre,Rue de Rivoli,75001,Paris,,France,https://www.louvre.fr/en,
41,National Maritime Museum,Romney Rd,London,SE10 9NF,,United Kingdom,https://www.rmg.co.uk/national-maritime-museum,
42,Museum of Fine Arts Boston,465 Huntington Ave,Boston,MA,2115,USA,https://www.mfa.org/,
43,Rijksmuseum,Museumstraat 1,Amsterdam,,1071 XX,Netherlands,https://www.rijksmuseum.nl/en/visit,
44,Israel Museum,Derech Ruppin 11,Jerusalem,,,Israel,https://www.imj.org.il/en,
45,Kunsthaus Zürich,Heimplatz 1,Zurich,,8001,Switzerland,https://www.kunsthaus.ch/en/,
46,National Gallery of Art,Constitution Ave. NW,Washington,DC,20565,USA,https://www.nga.gov/,
47,National Gallery,Trafalgar Square,London,England,WC2N 5DN,UK,https://www.nationalgallery.org.uk/,
48,Mauritshuis Museum,Plein 29,Den Haag,,2511,Netherlands,https://www.mauritshuis.nl/en/,
49,Musée d'Orsay,1 Rue de la Légion d'Honneur,Paris,,75007,France,https://www.musee-orsay.fr/en,
50,The Prado Museum,"C. de Ruiz de Alarcón, 23",Madrid,,28014,Spain,https://www.museodelprado.es/en,
51,The Barnes Foundation,2025 Benjamin Franklin Pkwy,Philadelphia,PA,19130,USA,https://www.barnesfoundation.org/,
52,Hungarian National Gallery,Szent György tér 2,Budapest,,1014,Hungary,https://en.mng.hu/,
53,Cleveland Museum Of Art,11150 East Blvd,Cleveland,OH,44106,USA,http://clevelandart.org/,
